Rechnungsnummer,Kundenname,Email,Rechnungsbetrag,Steuerbetrag,Status,Rechnungstyp,Erstellungsdatum,Fälligkeitsdatum,Beschreibung,Grund,Original_Rechnung,Bestellnummer,Financial Status,Fulfillment Status,Total,Created at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem sku,Billing Name,Billing Address1,Billing City,Billing Zip,Billing Country,Shipping Name,Shipping Address1,Shipping City,Shipping Zip,Shipping Country
"RE-2024-001","Max Mustermann","max.mustermann@email.com","119.00","19.00","Bezahlt","Rechnung","2024-01-15","2024-02-14","Premium T-Shirt - Schwarz Größe L","","","RE-2024-001","paid","fulfilled","119.00","2024-01-15 10:30:00","1","Premium T-Shirt","100.00","TSHIRT-001","Max Mustermann","Musterstraße 123","Berlin","12345","Germany","Max Mustermann","Musterstraße 123","Berlin","12345","Germany"
"RE-2024-002","Anna Schmidt","anna.schmidt@email.com","89.50","14.27","Bezahlt","Rechnung","2024-01-16","2024-02-15","Basic Cap - Navy Blau","","","RE-2024-002","paid","fulfilled","89.50","2024-01-16 14:20:00","2","Basic Cap","44.75","CAP-001","Anna Schmidt","Beispielweg 456","München","80331","Germany","Anna Schmidt","Beispielweg 456","München","80331","Germany"
"RE-2024-003","Peter Müller","peter.mueller@email.com","234.75","37.40","Offen","Rechnung","2024-01-17","2024-02-16","Deluxe Hoodie - Grau Größe XL","","","RE-2024-003","pending","unfulfilled","234.75","2024-01-17 09:15:00","1","Deluxe Hoodie","234.75","HOODIE-001","Peter Müller","Teststraße 789","Hamburg","20095","Germany","Peter Müller","Teststraße 789","Hamburg","20095","Germany"
"ST-2024-001","Max Mustermann","max.mustermann@email.com","-119.00","-19.00","Storniert","Storno","2024-01-20","","Stornierung der Rechnung RE-2024-001","Kunde hat Bestellung storniert","RE-2024-001","RE-2024-001","refunded","cancelled","-119.00","2024-01-20 15:30:00","1","Premium T-Shirt (Storno)","100.00","TSHIRT-001","Max Mustermann","Musterstraße 123","Berlin","12345","Germany","Max Mustermann","Musterstraße 123","Berlin","12345","Germany"
"GS-2024-001","Anna Schmidt","anna.schmidt@email.com","-44.75","-7.14","Gutschrift","Gutschrift","2024-01-22","","Teilrückerstattung für RE-2024-002","Artikel defekt - Teilrückerstattung","RE-2024-002","RE-2024-002","partially_refunded","returned","-44.75","2024-01-22 11:15:00","1","Basic Cap (Rückerstattung)","44.75","CAP-001","Anna Schmidt","Beispielweg 456","München","80331","Germany","Anna Schmidt","Beispielweg 456","München","80331","Germany"
"RE-2024-006","Maria Weber","maria.weber@email.com","156.90","25.01","Bezahlt","Rechnung","2024-01-18","2024-02-17","Standard Mug Set - 3 Stück Weiß","","","RE-2024-006","paid","fulfilled","156.90","2024-01-18 16:45:00","3","Standard Mug","52.30","MUG-001","Maria Weber","Probestraße 321","Köln","50667","Germany","Maria Weber","Probestraße 321","Köln","50667","Germany"
"RE-2024-007","Thomas Klein","thomas.klein@email.com","78.25","12.48","Teilweise bezahlt","Rechnung","2024-01-19","2024-02-18","Basic Notebook - A5 Liniert","","","RE-2024-007","partial","partial","78.25","2024-01-19 11:30:00","1","Basic Notebook","78.25","NOTEBOOK-001","Thomas Klein","Demoweg 654","Frankfurt","60311","Germany","Thomas Klein","Demoweg 654","Frankfurt","60311","Germany"
"RE-2024-008","Lisa Hoffmann","lisa.hoffmann@email.com","299.99","47.84","Überfällig","Rechnung","2024-01-10","2024-02-09","Premium Laptop Tasche - Leder Braun","","","RE-2024-008","pending","unfulfilled","299.99","2024-01-10 08:45:00","1","Premium Laptop Tasche","299.99","BAG-001","Lisa Hoffmann","Hauptstraße 987","Stuttgart","70173","Germany","Lisa Hoffmann","Hauptstraße 987","Stuttgart","70173","Germany"
"ST-2024-002","Lisa Hoffmann","lisa.hoffmann@email.com","-299.99","-47.84","Storniert","Storno","2024-01-25","","Vollständige Stornierung der Rechnung RE-2024-008","Kunde unzufrieden mit Qualität","RE-2024-008","RE-2024-008","refunded","cancelled","-299.99","2024-01-25 14:20:00","1","Premium Laptop Tasche (Storno)","299.99","BAG-001","Lisa Hoffmann","Hauptstraße 987","Stuttgart","70173","Germany","Lisa Hoffmann","Hauptstraße 987","Stuttgart","70173","Germany"
"RE-2024-009","Michael Bauer","michael.bauer@email.com","45.50","7.26","Bezahlt","Rechnung","2024-01-21","2024-02-20","Einfache Socken - 5er Pack Schwarz","","","RE-2024-009","paid","fulfilled","45.50","2024-01-21 13:10:00","5","Einfache Socken","9.10","SOCKS-001","Michael Bauer","Nebenstraße 147","Düsseldorf","40210","Germany","Michael Bauer","Nebenstraße 147","Düsseldorf","40210","Germany"
